pileup,weight,nevents,N_gen,gw_pos,gw_neg,muon_pt,muon_eta,muon_phi,muon_mass,met_pt,met_phi,met_eta,calo_met_pt,met_pt_pf,met_phi_pf,electron_pt,electron_eta,electron_phi,electron_mass,tau_pt,tau_eta,tau_phi,tau_mass,photon_pt,photon_eta,photon_phi,photon_mass,lead_jet_pt,lead_jet_eta,lead_jet_phi,lead_jet_mass,lead_jet_btag_csvv2,lead_jet_ch_hef,lead_jet2_pt,lead_jet2_eta,lead_jet2_phi,lead_jet2_mass,lead_jet2_btag_csvv2,lead_jet2_ch_hef,lead_jet3_pt,lead_jet3_eta,lead_jet3_phi,lead_jet3_mass,lead_jet3_btag_csvv2,lead_jet3_ch_hef,lead_jet4_pt,lead_jet4_eta,lead_jet4_phi,lead_jet4_mass,lead_jet4_btag_csvv2,lead_jet4_ch_hef
17.0,-2.2259867191314697,4290.0,3082.0,3686.0,604.0,[4.27],[-1.99],[-2.39],[0.106],457.0352783203125,2.06787109375,0.0,358.25,441.6558837890625,2.189453125,[],[],[],[],[],[],[],[],[],[],[],[],407.75,-0.50341796875,-0.9930419921875,43.5625,0.06024169921875,0.6875,19.34375,1.022705078125,-2.255859375,4.65625,0.1650390625,0.6796875,17.984375,-0.091094970703125,-1.54345703125,3.693359375,0.17333984375,0.6953125,16.765625,-1.106201171875,-1.159423828125,3.693359375,0.11004638671875,0.8359375
14.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[5.61],[0.824],[1.16],[0.106],524.667236328125,-2.591796875,0.0,337.25,508.2227783203125,-2.54345703125,[5.28],[0.824],[1.16],[-0.00179],[],[],[],[],[],[],[],[],442.5,1.40576171875,0.5328369140625,39.21875,0.1246337890625,0.875,25.640625,0.7742919921875,1.209228515625,5.41015625,0.1353759765625,0.671875,23.21875,1.20703125,-0.017772674560546875,6.59765625,0.1302490234375,0.5234375,15.5078125,0.5286865234375,-0.0061740875244140625,3.8984375,0.268798828125,0.34375
22.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],435.23602294921875,0.014226913452148438,0.0,397.0,453.23468017578125,0.009578704833984375,[],[],[],[],[],[],[],[],[],[],[],[],419.5,-1.38427734375,-3.13671875,27.375,0.41064453125,0.421875,21.390625,-0.15850830078125,2.89892578125,2.380859375,0.5263671875,0.265625,19.78125,-1.085205078125,-2.693359375,2.982421875,0.21728515625,0.4296875,17.28125,-1.8056640625,1.6162109375,1.890625,0.1771240234375,0.59375
30.0,-2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],464.7467346191406,-0.979736328125,0.0,326.5,451.26922607421875,-0.998779296875,[],[],[],[],[],[],[],[],[],[],[],[],443.25,-1.331787109375,2.10986328125,43.09375,0.12890625,0.703125,23.734375,0.7901611328125,-2.01025390625,5.51953125,-10.0,0.130859375,17.390625,-0.97216796875,2.71923828125,3.708984375,0.2081298828125,0.44921875,15.2578125,-1.471923828125,-2.2822265625,3.7265625,0.529296875,0.4375
19.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],480.25079345703125,-2.0498046875,0.0,373.75,442.7769775390625,-2.0654296875,[],[],[],[],[],[],[],[],[],[],[],[],452.75,-1.017578125,1.096435546875,40.34375,0.166748046875,0.609375,24.078125,-1.21875,-1.252685546875,5.0703125,0.459716796875,0.1875,21.421875,-0.0025835037231445312,2.1884765625,5.54296875,0.39208984375,0.37890625,19.296875,-1.30908203125,-2.814453125,5.48828125,0.21728515625,0.8515625
22.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],489.9468078613281,0.98388671875,0.0,406.25,509.2138977050781,1.025146484375,[],[],[],[],[],[],[],[],[],[],[],[],446.75,-0.165618896484375,-2.126953125,43.90625,0.1575927734375,0.84375,19.109375,1.035400390625,2.4287109375,4.58984375,0.1878662109375,0.7265625,17.171875,-0.31341552734375,-2.708984375,3.90625,0.19287109375,0.35546875,16.46875,0.7235107421875,-1.613037109375,4.375,0.1461181640625,0.8046875
20.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],932.6041259765625,0.25341796875,0.0,827.5,926.8152465820312,0.24835205078125,[],[],[],[],[],[],[],[],[],[],[],[],874.5,-1.27880859375,-2.89404296875,90.5,0.26953125,0.421875,21.171875,-1.739013671875,3.10107421875,3.478515625,-10.0,0.2734375,18.015625,-1.208740234375,-2.47509765625,3.341796875,0.218017578125,0.13671875,16.078125,-0.9320068359375,2.81689453125,2.884765625,-10.0,0.064453125
27.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],540.398681640625,-1.750244140625,0.0,441.5,526.0608520507812,-1.759521484375,[],[],[],[],[],[],[],[],[],[],[],[],478.25,-0.754150390625,1.29638671875,39.53125,0.11187744140625,0.7890625,29.796875,-1.84765625,1.43994140625,5.828125,0.1751708984375,0.859375,17.265625,-0.9190673828125,2.26416015625,4.46484375,0.2060546875,0.671875,15.015625,-1.88037109375,2.80712890625,3.041015625,0.52392578125,0.1875
31.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],400.5003662109375,-1.08544921875,0.0,344.5,394.3593444824219,-1.08251953125,[],[],[],[],[],[],[],[],[],[],[],[],403.5,-0.04375457763671875,1.986572265625,35.84375,0.78369140625,0.65625,21.421875,-0.552001953125,-2.3369140625,5.15234375,0.7734375,0.765625,20.984375,-1.34619140625,0.8194580078125,5.56640625,0.31787109375,0.8125,17.8125,0.9228515625,0.819091796875,4.26953125,-10.0,0.37890625
23.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],686.8204956054688,-2.8251953125,0.0,629.5,685.855224609375,-2.84423828125,[],[],[],[],[],[],[],[],[],[],[],[],674.0,-1.31884765625,0.28118896484375,66.8125,0.185546875,0.65625,21.4375,-1.1669921875,-0.3277587890625,4.90234375,0.2236328125,0.7890625,17.75,2.34228515625,2.52099609375,4.26171875,0.310546875,0.3359375,17.453125,-0.27227783203125,0.8341064453125,2.708984375,0.15869140625,0.5078125
21.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],498.9783630371094,-1.959716796875,0.0,401.25,477.7166442871094,-2.0341796875,[],[],[],[],[],[],[],[],[],[],[],[],430.75,-0.4671630859375,1.17236328125,38.65625,0.408935546875,0.5,33.5,1.1279296875,-0.27471923828125,6.2265625,0.1761474609375,0.7109375,28.4375,-0.4464111328125,1.708251953125,6.7265625,0.443603515625,0.859375,21.90625,-1.45068359375,2.85009765625,5.7421875,0.20703125,0.546875
25.0,-2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],451.21929931640625,0.49273681640625,0.0,399.5,456.2064208984375,0.4447021484375,[],[],[],[],[],[],[],[],[],[],[],[],429.75,1.486083984375,-2.61474609375,43.125,0.19775390625,0.796875,21.953125,0.5447998046875,1.728515625,4.78515625,0.15380859375,0.7109375,17.921875,2.2431640625,-2.78076171875,3.25,0.54296875,0.5546875,16.515625,-0.25054931640625,-2.46240234375,3.990234375,0.5263671875,0.32421875
16.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],570.4727172851562,-2.2236328125,0.0,483.75,555.4676513671875,-2.2314453125,[],[],[],[],[],[],[],[],[],[],[],[],500.75,-0.084381103515625,0.84912109375,41.25,0.1065673828125,0.734375,36.71875,-0.2760009765625,1.5849609375,6.515625,0.1585693359375,0.90625,19.96875,-2.35888671875,1.1689453125,2.900390625,0.1326904296875,0.859375,15.6796875,0.238494873046875,1.127197265625,2.361328125,0.1746826171875,0.220703125
19.0,-2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],406.5943603515625,-0.30035400390625,0.0,340.5,391.06475830078125,-0.210479736328125,[],[],[],[],[],[],[],[],[],[],[],[],393.25,-0.38385009765625,2.96728515625,44.625,0.085693359375,0.7421875,22.296875,-2.14453125,1.65771484375,3.91015625,0.17529296875,0.828125,20.53125,2.3837890625,0.8271484375,4.109375,0.2313232421875,0.5234375,18.625,-1.446533203125,2.95751953125,2.810546875,0.52783203125,0.154296875
33.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],381.4054260253906,-0.8856201171875,0.0,356.5,386.2206726074219,-0.8372802734375,[],[],[],[],[],[],[],[],[],[],[],[],412.5,-0.44305419921875,2.2080078125,30.0625,0.6416015625,0.8125,21.875,-1.056884765625,-2.4296875,4.3828125,0.74609375,0.546875,17.359375,-0.212432861328125,-1.7705078125,4.4609375,0.2166748046875,0.42578125,15.046875,-0.6890869140625,1.122802734375,4.21484375,0.139892578125,0.5859375
8.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],415.12371826171875,2.923828125,0.0,335.75,371.3186340332031,2.90966796875,[],[],[],[],[],[],[],[],[],[],[],[],398.75,-0.7806396484375,-0.2528076171875,27.609375,0.057342529296875,0.71875,21.5,1.765625,1.919677734375,5.5234375,0.1376953125,0.6015625,16.46875,-1.45263671875,1.4794921875,3.03125,0.53076171875,0.04345703125,15.390625,1.359375,-1.42333984375,2.873046875,-10.0,0.0390625
17.0,-2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],624.7888793945312,1.370361328125,0.0,552.5,620.4840087890625,1.32763671875,[],[],[],[],[],[],[],[],[],[],[],[],636.5,-1.10009765625,-1.816162109375,53.28125,0.28173828125,0.26171875,25.640625,-1.50341796875,2.2392578125,6.01953125,0.6640625,0.8515625,19.359375,1.19873046875,0.3306884765625,5.203125,0.1612548828125,0.5703125,17.765625,0.712646484375,-2.9814453125,3.89453125,0.5302734375,0.224609375
17.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],394.1058044433594,1.92578125,0.0,334.25,383.17919921875,1.91552734375,[],[],[],[],[],[],[],[],[],[],[],[],397.5,-0.8436279296875,-1.15869140625,35.375,0.1868896484375,0.5390625,21.453125,0.23046875,2.72900390625,5.04296875,0.1328125,0.7109375,20.625,1.4345703125,-2.23779296875,3.4140625,0.1580810546875,0.828125,15.0,-1.236572265625,0.7958984375,3.900390625,0.1793212890625,0.765625
36.0,-2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],449.9537048339844,-0.39599609375,0.0,396.5,439.9127197265625,-0.3970947265625,[5.24],[0.121],[-3.11],[0.00155],[],[],[],[],[],[],[],[],400.0,-0.697509765625,2.73046875,38.4375,0.08038330078125,0.7890625,26.75,-0.559326171875,-3.1123046875,3.2734375,0.34912109375,0.05419921875,22.34375,0.0355987548828125,3.11669921875,4.9140625,-10.0,0.3203125,15.0546875,-1.277587890625,2.89501953125,3.6328125,0.161865234375,0.6640625
8.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],482.11309814453125,1.165771484375,0.0,428.25,485.0152282714844,1.166015625,[7.3],[2.18],[-0.789],[0.00323],[],[],[],[],[],[],[],[],453.25,0.058807373046875,-1.95947265625,27.171875,0.1092529296875,0.5234375,23.921875,-0.593505859375,-1.514892578125,3.556640625,0.238037109375,0.734375,16.03125,1.203125,2.5791015625,3.802734375,0.180419921875,0.8984375,15.3515625,1.8935546875,-2.85595703125,4.65234375,-10.0,0.47265625
11.0,-2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],361.05316162109375,1.498779296875,0.0,286.25,360.4000549316406,1.53173828125,[],[],[],[],[],[],[],[],[21.7],[-1.75],[-1.62],[0],321.75,-1.281494140625,-1.571044921875,38.78125,0.67529296875,0.49609375,39.21875,-1.764892578125,-1.63671875,7.2109375,0.142822265625,0.15625,18.21875,1.153076171875,2.95263671875,2.798828125,-10.0,0.26953125,15.6796875,0.2198486328125,2.4990234375,4.07421875,0.2171630859375,0.7734375
18.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],580.0045166015625,-1.2001953125,0.0,467.5,551.2357177734375,-1.14501953125,[],[],[],[],[],[],[],[],[],[],[],[],470.0,-0.8614501953125,1.967529296875,26.828125,0.2257080078125,0.4140625,33.65625,0.7462158203125,1.35791015625,7.24609375,0.1334228515625,0.78125,29.640625,0.8201904296875,2.599609375,6.19140625,0.53564453125,0.181640625,25.203125,-1.17919921875,2.923828125,5.9609375,0.179443359375,0.4921875
31.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],583.7722778320312,0.9034423828125,0.0,505.0,568.6957397460938,0.88134765625,[],[],[],[],[],[],[],[],[22.8],[1.33],[-2.35],[-6.74e-07],578.5,1.599853515625,-2.24072265625,61.40625,0.67041015625,0.18359375,24.421875,1.07763671875,1.5205078125,6.28125,0.2529296875,0.47265625,20.265625,1.25390625,-3.04931640625,4.85546875,-10.0,0.203125,17.0,1.189208984375,-2.45166015625,3.466796875,0.56494140625,0.8828125
24.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[3.18],[1.07],[-0.694],[0.106],424.76959228515625,0.828369140625,0.0,330.5,411.2919921875,0.923583984375,[],[],[],[],[],[],[],[],[10.1],[0.822],[-2.22],[-3.15e-07],374.5,-1.02978515625,-2.404296875,41.46875,0.0655517578125,0.6953125,22.28125,0.8642578125,-2.14013671875,4.76171875,0.1522216796875,0.40234375,19.875,0.8316650390625,-0.7525634765625,4.54296875,0.347900390625,0.8515625,17.21875,-0.903564453125,-1.797607421875,4.40625,0.50244140625,0.6875
18.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],487.1400451660156,0.9124755859375,0.0,426.0,531.3110961914062,0.947509765625,[],[],[],[],[],[],[],[],[],[],[],[],490.0,0.0789337158203125,-2.21435546875,48.8125,0.0767822265625,0.6171875,18.578125,2.3681640625,-1.744384765625,3.91796875,0.54443359375,0.375,16.90625,-0.9246826171875,1.623779296875,4.30078125,0.1973876953125,0.9296875,16.4375,1.09228515625,-2.18408203125,4.51171875,0.274658203125,0.49609375
14.0,-2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],542.0328369140625,-1.9619140625,0.0,438.0,551.4570922851562,-1.93310546875,[],[],[],[],[],[],[],[],[],[],[],[],479.25,1.21044921875,1.133544921875,36.875,0.1778564453125,0.8046875,26.234375,1.839599609375,1.83203125,5.60546875,0.1630859375,0.828125,17.5625,-0.5640869140625,1.52783203125,3.73828125,0.1796875,0.8359375,16.3125,2.27783203125,1.08984375,3.654296875,0.2430419921875,0.640625
23.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],435.6734924316406,2.1796875,0.0,367.25,410.448974609375,2.1494140625,[],[],[],[],[],[],[],[],[],[],[],[],403.5,0.010343551635742188,-1.04833984375,36.21875,0.06353759765625,0.5546875,16.453125,0.7135009765625,-2.79833984375,3.125,0.53076171875,0.84375,16.28125,-1.110107421875,-2.384765625,3.392578125,-10.0,0.2265625,15.5390625,-0.1071929931640625,0.8275146484375,3.87109375,0.252685546875,0.40625
15.0,2.2259867191314697,4290.0,3082.0,3686.0,604.0,[],[],[],[],406.3302001953125,-0.91845703125,0.0,336.0,404.9789123535156,-0.9564208984375,[],[],[],[],[],[],[],[],[],[],[],[],366.25,0.8388671875,2.27734375,26.078125,0.0660400390625,0.5703125,24.921875,-2.07177734375,0.9293212890625,6.33984375,0.5302734375,0.5625,18.1875,0.451416015625,1.947998046875,4.45703125,0.157958984375,0.5859375,16.15625,0.939697265625,2.73291015625,3.478515625,0.2181396484375,0.6953125
