pileup,weight,nevents,N_gen,gw_pos,gw_neg,muon_pt,muon_eta,muon_phi,muon_mass,met_pt,met_phi,met_eta,calo_met_pt,met_pt_pf,met_phi_pf,electron_pt,electron_eta,electron_phi,electron_mass,tau_pt,tau_eta,tau_phi,tau_mass,photon_pt,photon_eta,photon_phi,photon_mass,lead_jet_pt,lead_jet_eta,lead_jet_phi,lead_jet_mass,lead_jet_btag_csvv2,lead_jet_ch_hef,lead_jet2_pt,lead_jet2_eta,lead_jet2_phi,lead_jet2_mass,lead_jet2_btag_csvv2,lead_jet2_ch_hef,lead_jet3_pt,lead_jet3_eta,lead_jet3_phi,lead_jet3_mass,lead_jet3_btag_csvv2,lead_jet3_ch_hef,lead_jet4_pt,lead_jet4_eta,lead_jet4_phi,lead_jet4_mass,lead_jet4_btag_csvv2,lead_jet4_ch_hef
22.0,378.1824035644531,834344.0,283424.0,558884.0,275460.0,[],[],[],[],210.24276733398438,1.204345703125,0.0,103.6875,181.8106231689453,1.2294921875,[],[],[],[],[],[],[],[],[15.3],[-0.851],[1.81],[-1.69e-07],200.875,0.41827392578125,-1.626953125,20.25,0.20849609375,0.6953125,58.03125,-0.92919921875,1.83154296875,7.82421875,0.147705078125,0.3515625,54.21875,0.7479248046875,-2.2041015625,12.7734375,0.116943359375,0.8515625,16.03125,-0.31134033203125,-2.07373046875,4.3984375,0.1429443359375,0.75
18.0,378.1824035644531,834344.0,283424.0,558884.0,275460.0,[],[],[],[],233.55018615722656,2.93017578125,0.0,193.625,223.5117950439453,2.92724609375,"[5.53, 5.43]","[-0.669, -1.14]","[1.25, 1.34]","[0.00134, -0.00171]",[],[],[],[],[],[],[],[],200.875,0.04113006591796875,-0.288330078125,16.53125,0.1895751953125,0.609375,45.8125,-0.7498779296875,1.186279296875,11.796875,0.405517578125,0.3046875,32.6875,1.073486328125,-1.50732421875,4.8984375,0.1630859375,0.84375,21.375,-1.164794921875,1.372314453125,3.1015625,0.127197265625,0.32421875
22.0,378.1824035644531,834344.0,283424.0,558884.0,275460.0,[],[],[],[],250.7635040283203,2.232421875,0.0,168.375,217.41175842285156,2.11279296875,[],[],[],[],[],[],[],[],[],[],[],[],234.625,1.5869140625,-1.3642578125,28.0,0.1417236328125,0.875,88.875,-0.7877197265625,0.49273681640625,12.46875,0.08892822265625,0.6328125,23.484375,-0.9271240234375,-1.62841796875,5.9140625,0.52880859375,0.35546875,17.71875,0.655029296875,0.2000732421875,4.1796875,0.46337890625,0.34375
13.0,378.1824035644531,834344.0,283424.0,558884.0,275460.0,[6.33],[-0.005],[2.16],[0.106],241.0690460205078,-0.74560546875,0.0,167.625,232.62158203125,-0.732421875,[],[],[],[],[],[],[],[],[],[],[],[],274.0,-0.03527069091796875,2.00146484375,53.40625,0.0614013671875,0.640625,103.9375,2.24462890625,-1.854248046875,17.875,0.302978515625,0.8046875,18.40625,1.687255859375,1.183349609375,3.666015625,0.1630859375,0.4921875,18.21875,2.15234375,-2.3154296875,2.86328125,0.33349609375,0.41015625
20.0,378.1824035644531,834344.0,283424.0,558884.0,275460.0,[],[],[],[],280.5810852050781,2.63671875,0.0,232.375,257.8290100097656,2.74560546875,[6.49],[0.332],[2.09],[0.00161],[],[],[],[],[],[],[],[],211.125,0.2584228515625,0.1189422607421875,16.796875,0.275634765625,0.25,123.8125,0.979248046875,-1.451416015625,27.125,0.322998046875,0.6796875,53.125,1.576416015625,-1.013916015625,13.3046875,0.31640625,0.7890625,35.28125,0.3529052734375,2.04833984375,8.828125,0.1558837890625,0.6484375
19.0,-378.1824035644531,834344.0,283424.0,558884.0,275460.0,[],[],[],[],212.80728149414062,2.98095703125,0.0,182.75,244.30577087402344,3.1025390625,[],[],[],[],[],[],[],[],[],[],[],[],205.625,0.7750244140625,-0.474365234375,21.1875,0.1422119140625,0.65625,33.21875,1.75830078125,0.719970703125,6.8203125,-10.0,0.6015625,30.015625,-0.38720703125,0.8890380859375,5.40625,0.53759765625,0.7734375,19.1875,1.67333984375,1.192138671875,3.724609375,-10.0,0.16796875
29.0,378.1824035644531,834344.0,283424.0,558884.0,275460.0,[],[],[],[],242.7582550048828,0.5078125,0.0,177.875,234.30751037597656,0.6126708984375,[6.7],[1.85],[-0.97],[-0.00625],[],[],[],[],[],[],[],[],237.25,-0.5360107421875,-2.59375,40.90625,0.160400390625,0.71875,40.03125,2.15576171875,1.343505859375,9.8828125,0.30126953125,0.90625,21.46875,0.619873046875,1.6064453125,5.8359375,0.53125,0.41796875,15.984375,-1.243408203125,-0.34588623046875,3.53515625,0.53564453125,0.44921875
33.0,378.1824035644531,834344.0,283424.0,558884.0,275460.0,[],[],[],[],266.7464294433594,-0.550537109375,0.0,239.0,273.2852783203125,-0.5103759765625,[],[],[],[],[],[],[],[],"[17.2, 14.2]","[1.72, 1.67]","[-1.7, -1.68]","[6.74e-07, -4.77e-07]",279.5,0.16290283203125,2.12548828125,22.34375,0.0648193359375,0.734375,65.875,-1.778564453125,-2.9892578125,17.28125,0.27880859375,0.49609375,62.0625,1.69091796875,-1.66943359375,8.34375,0.154296875,0.5390625,18.625,-1.402099609375,-2.4345703125,3.599609375,0.1435546875,0.40234375
15.0,378.1824035644531,834344.0,283424.0,558884.0,275460.0,[],[],[],[],221.41714477539062,-1.69384765625,0.0,186.625,205.2740020751953,-1.704833984375,[],[],[],[],[],[],[],[],[],[],[],[],206.75,0.2991943359375,1.322021484375,18.421875,0.0853271484375,0.6328125,24.25,-0.876953125,-2.28564453125,4.65625,0.13916015625,0.546875,21.265625,1.926025390625,2.23486328125,3.625,0.165771484375,0.7421875,20.90625,0.17242431640625,0.898193359375,4.2578125,0.2296142578125,0.203125
29.0,378.1824035644531,834344.0,283424.0,558884.0,275460.0,[],[],[],[],206.49880981445312,-1.278564453125,0.0,192.25,233.4090118408203,-1.34130859375,[],[],[],[],[],[],[],[],[],[],[],[],263.75,-1.5478515625,1.413818359375,24.046875,0.1107177734375,0.6171875,101.4375,0.10028076171875,-2.4736328125,14.015625,0.077880859375,0.8359375,21.703125,0.40447998046875,2.3369140625,4.20703125,0.42919921875,0.212890625,17.796875,1.280029296875,1.27294921875,4.3671875,0.252197265625,0.4609375
