pileup,weight,N_gen,gw_pos,gw_neg,muon_pt,muon_eta,muon_phi,muon_mass,met_pt,met_phi,met_eta,calo_met_pt,met_pt_pf,met_phi_pf,electron_pt,electron_eta,electron_phi,electron_mass,tau_pt,tau_eta,tau_phi,tau_mass,photon_pt,photon_eta,photon_phi,photon_mass,lead_jet_pt,lead_jet_eta,lead_jet_phi,lead_jet_mass,lead_jet_btag_csvv2,lead_jet_ch_hef,lead_jet2_pt,lead_jet2_eta,lead_jet2_phi,lead_jet2_mass,lead_jet2_btag_csvv2,lead_jet2_ch_hef,lead_jet3_pt,lead_jet3_eta,lead_jet3_phi,lead_jet3_mass,lead_jet3_btag_csvv2,lead_jet3_ch_hef,lead_jet4_pt,lead_jet4_eta,lead_jet4_phi,lead_jet4_mass,lead_jet4_btag_csvv2,lead_jet4_ch_hef
41.0,4.5070887,33379.0,58565.0,25186.0,[5.75],[-0.845],[-2.95],[0.106],450.26642,-1.0021973,0.0,390.5,492.2902,-1.0112305,[],[],[],[],[],[],[],[],[],[],[],[],439.25,-0.7520752,-2.9902344,68.625,0.6821289,0.53125,198.875,-1.4609375,1.2680664,35.0625,0.72509766,0.4296875,162.0,-1.1462402,0.6470947,21.609375,0.73583984,0.515625,51.9375,-0.04660034,1.3942871,9.75,0.22595215,0.46875
23.0,-4.5070887,33379.0,58565.0,25186.0,[],[],[],[],471.58157,0.51049805,0.0,370.75,452.59027,0.50061035,[5.18],[0.889],[-1.98],[0.00124],[],[],[],[],[],[],[],[],251.75,0.063934326,-2.902832,12.1328125,0.061798096,0.8125,112.5,0.9760742,-1.9909668,18.03125,0.113220215,0.65625,101.3125,2.2719727,-2.559082,13.5078125,0.111450195,0.8828125,52.71875,1.3132324,-2.4545898,10.703125,0.390625,0.7421875
15.0,-4.5070887,33379.0,58565.0,25186.0,[],[],[],[],408.10602,1.4716797,0.0,316.75,422.48312,1.5144043,[],[],[],[],[],[],[],[],[12.6],[-1.37],[-0.39],[-3.37e-07],352.75,0.22579956,-2.0107422,51.65625,0.18688965,0.6640625,59.375,0.5119629,-0.3326416,9.9453125,0.08392334,0.8359375,37.75,-0.5522461,-0.6437988,8.0703125,0.21276855,0.40234375,37.53125,-0.07299805,-1.0505371,6.6679688,0.17089844,0.53125
21.0,-4.5070887,33379.0,58565.0,25186.0,[],[],[],[],435.51804,-2.6567383,0.0,375.25,460.44098,-2.637207,[5.47],[0.77],[-0.787],[-0.00111],[],[],[],[],[],[],[],[],390.75,0.35284424,0.55566406,56.125,0.10510254,0.45703125,37.5,-0.3326416,-0.35144043,7.3984375,0.15771484,0.53125,22.140625,2.1259766,0.6098633,5.953125,-10.0,0.3515625,17.765625,-0.074142456,0.8243408,4.4140625,0.10308838,0.53125
15.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],529.9164,-3.0092773,0.0,395.5,524.5302,-3.012207,[],[],[],[],[],[],[],[],[],[],[],[],313.25,-0.18365479,0.46173096,19.03125,0.101135254,0.5078125,194.75,-1.1787109,-0.2514038,46.28125,0.28198242,0.75,39.75,-0.7581787,-1.057373,6.7773438,0.6455078,0.703125,22.28125,-0.14657593,0.96313477,3.796875,0.18652344,0.609375
30.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],837.98236,3.0419922,0.0,701.5,827.05597,3.0644531,[],[],[],[],[],[],[],[],[],[],[],[],710.0,-0.8631592,-0.20471191,49.8125,0.3708496,0.33984375,125.6875,0.019298553,1.0749512,15.875,0.15771484,0.671875,72.3125,1.576416,-0.8376465,10.1796875,0.77246094,0.484375,15.6328125,0.69555664,-0.4697876,4.0351562,0.23144531,0.609375
35.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],412.22852,-2.8857422,0.0,261.0,388.6406,-2.9160156,[],[],[],[],[],[],[],[],[16.9],[-0.0284],[-0.38],[-2.18e-07],245.625,-0.5571289,0.03227234,46.71875,0.29589844,0.546875,124.375,-1.2209473,0.59436035,18.40625,0.083618164,0.84375,32.875,-0.3717041,1.4931641,8.9453125,0.15075684,0.8828125,28.515625,-0.13562012,0.64123535,6.0234375,0.4663086,0.25390625
27.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],421.0537,-0.22827148,0.0,315.25,415.9383,-0.19592285,[],[],[],[],[],[],[],[],[12.8],[2.56],[2.44],[0],255.75,0.21261597,2.8330078,37.9375,0.099243164,0.828125,99.3125,2.3422852,2.432129,12.8515625,0.4165039,0.32421875,70.9375,0.53393555,-3.0195312,6.9726562,0.068725586,0.828125,40.875,0.51171875,-1.7385254,4.5742188,0.72558594,0.7734375
19.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],442.44266,3.0473633,0.0,343.75,427.07352,2.9936523,[],[],[],[],[],[],[],[],[],[],[],[],342.0,0.59643555,-0.04284668,32.15625,0.0670166,0.6640625,62.96875,0.5716553,-0.7965088,11.3359375,0.2607422,0.53125,25.875,-0.49310303,1.0532227,5.7695312,0.15808105,0.5078125,16.34375,-2.1904297,-0.17028809,2.7460938,0.5307617,0.33203125
23.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],234.01653,-1.0004883,0.0,189.5,207.20737,-0.9333496,[],[],[],[],[],[],[],[],[],[],[],[],223.0,2.1333008,1.7067871,18.65625,0.6401367,0.8984375,75.375,1.6877441,-2.9033203,12.6328125,0.70654297,0.5625,16.171875,-1.0524902,2.5385742,4.1914062,0.23095703,0.328125,15.8203125,0.892334,3.0097656,4.3164062,0.5317383,0.578125
14.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],526.4297,-2.546875,0.0,439.0,536.96985,-2.5532227,[],[],[],[],[],[],[],[],[],[],[],[],772.5,1.1721191,-0.29455566,62.34375,0.09222412,0.5546875,422.5,-0.68847656,2.2729492,38.78125,0.18273926,0.9609375,232.625,-0.16271973,2.222168,28.21875,0.07409668,0.578125,67.6875,1.9921875,0.09674072,12.359375,0.66308594,0.828125
31.0,-4.5070887,33379.0,58565.0,25186.0,[],[],[],[],436.7035,-1.4306641,0.0,356.0,466.55927,-1.4902344,[],[],[],[],[],[],[],[],[],[],[],[],389.0,0.62561035,1.5908203,82.875,0.05908203,0.5625,59.0625,-0.08013916,2.6855469,11.5,0.0982666,0.765625,25.5,-0.50183105,0.73620605,6.4179688,0.14318848,0.78125,25.140625,-1.9362793,-0.91503906,7.703125,0.53564453,0.609375
9.0,-4.5070887,33379.0,58565.0,25186.0,[],[],[],[],812.91174,0.3768921,0.0,705.0,805.915,0.37420654,[],[],[],[],[],[],[],[],[],[],[],[],731.0,0.4819336,-2.8408203,55.40625,0.29785156,0.5625,60.96875,-0.22442627,-2.0292969,13.171875,0.09246826,0.609375,20.09375,-0.15829468,-2.5854492,4.8320312,0.24438477,0.796875,15.9765625,-1.2922363,-2.9350586,3.34375,0.17663574,0.3828125
28.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],501.34174,1.4121094,0.0,443.5,490.4445,1.425293,[],[],[],[],[],[],[],[],[],[],[],[],520.0,-0.75268555,-1.9816895,50.78125,0.51171875,0.4453125,60.40625,-1.6967773,0.0020627975,9.578125,0.099365234,0.703125,26.515625,-2.2963867,-0.19985962,5.5664062,0.1706543,0.5234375,23.703125,-1.2392578,-0.23583984,5.9023438,0.7480469,0.8046875
27.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],435.12314,-1.2802734,0.0,345.5,392.53534,-1.3383789,[],[],[],[],[],[],[],[],"[19, 15.9, 13.7]","[1.62, 1.32, 1.69]","[2.92, 1.38, 2.86]","[6.74e-07, 3.37e-07, 6.74e-07]",292.0,0.0270195,1.7263184,19.515625,0.076660156,0.828125,82.4375,1.4755859,1.5251465,17.4375,0.6010742,0.3671875,65.5,1.6335449,2.9101562,7.8164062,0.087646484,0.59375,19.9375,-0.38616943,2.2421875,4.1523438,0.14819336,0.9296875
18.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],437.3877,-2.012207,0.0,396.5,443.97482,-2.0141602,[],[],[],[],[],[],[],[],[],[],[],[],407.75,-0.3947754,1.1687012,24.3125,0.070251465,0.6171875,27.015625,1.2370605,-0.2734375,6.4023438,0.17700195,0.8515625,25.984375,2.3632812,2.3300781,3.4277344,0.3034668,0.546875,16.921875,0.23855591,0.49694824,2.9472656,0.71435547,0.671875
15.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],791.71277,1.9458008,0.0,691.0,783.2693,1.9504395,[],[],[],[],[],[],[],[],[],[],[],[],1023.0,0.51501465,-2.019043,91.0,0.026672363,0.625,683.5,-0.9842529,0.34887695,36.84375,0.12225342,0.6015625,103.6875,-0.45159912,-0.24725342,14.0546875,0.1361084,0.890625,21.5,-0.15179443,-2.4692383,3.6953125,0.14758301,0.9921875
24.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],459.7749,-1.6789551,0.0,394.25,440.921,-1.6550293,[8.28],[2.22],[2.66],[-0.0111],[],[],[],[],[],[],[],[],427.0,2.099121,1.0539551,41.34375,0.5239258,0.6953125,145.375,2.2250977,2.6660156,17.671875,0.57177734,0.9453125,17.5,-0.65515137,-3.088379,4.8710938,0.19750977,0.8046875,16.03125,1.9848633,2.324707,4.078125,0.4411621,0.37890625
11.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],535.91736,2.9545898,0.0,493.75,523.7027,2.9648438,[],[],[],[],[],[],[],[],"[22.5, 21.3]","[1.32, 1.23]","[2.19, 2.15]","[0, -4.77e-07]",592.5,-1.4206543,-0.3449707,58.03125,0.18737793,0.375,140.375,1.1196289,2.1411133,32.28125,0.12200928,0.546875,22.953125,-1.7133789,-0.7166748,3.9257812,0.27392578,0.7109375,16.859375,0.036827087,-0.39697266,3.5605469,-10.0,0.2578125
14.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],392.5287,0.04623413,0.0,357.0,384.6455,0.058143616,[],[],[],[],[],[],[],[],[],[],[],[],375.0,-0.88171387,-2.8012695,29.734375,0.08850098,0.375,59.78125,1.8549805,1.6120605,9.2421875,0.11376953,0.84375,23.328125,0.7110596,2.6118164,4.1054688,0.17553711,0.5546875,22.25,2.2392578,1.9597168,2.9628906,0.16674805,0.7109375
22.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],417.92374,-2.0830078,0.0,354.5,417.9123,-2.0952148,[],[],[],[],[],[],[],[],[],[],[],[],369.25,-0.49676514,1.1337891,55.75,0.062194824,0.6796875,32.25,0.11488342,0.02161026,6.7226562,0.21520996,0.6015625,19.890625,-0.084869385,0.85131836,3.9003906,0.13549805,0.37109375,15.09375,2.0063477,-0.62731934,3.7148438,0.5522461,0.53125
21.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],467.23535,2.9731445,0.0,328.25,445.89703,3.0151367,[],[],[],[],[],[],[],[],[],[],[],[],350.75,-1.2939453,-0.1611023,52.34375,0.4814453,0.765625,46.8125,-0.1659851,0.03769684,8.5703125,0.09399414,0.765625,19.78125,-1.6616211,0.2237854,3.4316406,0.27856445,0.4140625,18.484375,0.81604004,-1.170166,5.2890625,0.46191406,0.7578125
26.0,4.5070887,33379.0,58565.0,25186.0,[],[],[],[],488.80884,-1.5266113,0.0,405.0,488.6465,-1.4995117,[],[],[],[],[],[],[],[],[],[],[],[],215.625,-2.0566406,1.359375,29.9375,0.6323242,0.59375,200.5,-0.8955078,2.109375,15.9921875,0.07562256,0.78125,46.96875,-1.4277344,1.3300781,10.15625,0.17041016,0.53125,17.515625,-0.12365723,0.4397583,4.109375,0.2397461,0.7421875
