pileup,weight,nevents,N_gen,gw_pos,gw_neg,muon_pt,muon_eta,muon_phi,muon_mass,met_pt,met_phi,met_eta,calo_met_pt,met_pt_pf,met_phi_pf,electron_pt,electron_eta,electron_phi,electron_mass,tau_pt,tau_eta,tau_phi,tau_mass,photon_pt,photon_eta,photon_phi,photon_mass,lead_jet_pt,lead_jet_eta,lead_jet_phi,lead_jet_mass,lead_jet_btag_csvv2,lead_jet_ch_hef,lead_jet2_pt,lead_jet2_eta,lead_jet2_phi,lead_jet2_mass,lead_jet2_btag_csvv2,lead_jet2_ch_hef,lead_jet3_pt,lead_jet3_eta,lead_jet3_phi,lead_jet3_mass,lead_jet3_btag_csvv2,lead_jet3_ch_hef,lead_jet4_pt,lead_jet4_eta,lead_jet4_phi,lead_jet4_mass,lead_jet4_btag_csvv2,lead_jet4_ch_hef
21.0,-379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],250.51173400878903,-0.359619140625,0.0,208.5,261.57525634765625,-0.32275390625,[],[],[],[],[],[],[],[],[19.4],[0.426],[3.11],[-1.69e-07],230.75,0.21954345703125,-3.134765625,31.71875,0.177978515625,0.6015625,112.0625,2.09130859375,1.626220703125,15.5390625,0.145263671875,0.296875,42.3125,1.32080078125,-1.3046875,8.3203125,0.1519775390625,0.71875,23.46875,-1.16259765625,1.8564453125,3.498046875,0.1507568359375,0.890625
28.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],248.3297576904297,0.099273681640625,0.0,167.75,245.719482421875,0.136749267578125,[],[],[],[],[],[],[],[],[],[],[],[],232.25,1.1650390625,-2.6884765625,38.9375,0.1590576171875,0.41015625,25.515625,-1.416015625,1.048583984375,3.697265625,0.177734375,0.9296875,24.84375,2.2138671875,2.1982421875,4.48046875,0.372314453125,0.5859375,22.359375,-1.623291015625,2.1689453125,4.015625,0.5380859375,0.734375
18.0,-379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],224.36111450195312,0.062286376953125,0.0,163.625,231.27395629882807,-0.0869140625,"[1.25, 6.15]","[2.15, 2.2]","[-1.27, -1.89]","[-0.0112, -0.00729]",[],[],[],[],[],[],[],[],208.25,0.170501708984375,3.0751953125,26.484375,0.1923828125,0.7421875,24.953125,2.24609375,-1.847412109375,5.17578125,0.1585693359375,0.546875,18.90625,-0.0864715576171875,1.216064453125,4.328125,0.68896484375,0.5546875,17.140625,-1.00439453125,1.13623046875,3.224609375,-10.0,0.048828125
22.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],251.42027282714844,-1.5537109375,0.0,193.75,237.1177978515625,-1.638427734375,[],[],[],[],[],[],[],[],[],[],[],[],279.75,1.809326171875,1.77392578125,23.59375,0.1627197265625,0.8046875,43.59375,-1.736328125,-0.34063720703125,8.0078125,0.2171630859375,0.5234375,18.40625,-0.39080810546875,-0.873779296875,5.48828125,0.218505859375,0.8125,15.5625,0.0439910888671875,1.699951171875,3.3203125,0.2210693359375,0.30859375
26.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],217.23501586914065,3.095703125,0.0,132.375,172.50167846679688,-2.98095703125,[],[],[],[],[],[],[],[],[],[],[],[],248.125,-1.578125,0.9176025390625,27.140625,0.1319580078125,0.7578125,214.5,-1.74267578125,-1.391845703125,28.734375,0.4375,0.6171875,29.15625,-0.6978759765625,2.19970703125,6.7265625,0.274658203125,0.35546875,23.46875,-1.33251953125,-0.9093017578125,5.64453125,0.1490478515625,0.7734375
12.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],219.03350830078125,0.37371826171875,0.0,159.75,224.4892578125,0.4498291015625,[],[],[],[],[],[],[],[],[17.3],[-0.863],[-0.94],[-2.38e-07],242.75,-1.256591796875,3.13623046875,34.15625,0.2274169921875,0.47265625,69.4375,-1.544189453125,-0.909423828125,10.5546875,0.2344970703125,0.5078125,36.34375,-0.8900146484375,-0.9296875,7.8984375,0.1275634765625,0.703125,16.109375,-1.251953125,-0.430908203125,3.298828125,0.208251953125,0.48046875
11.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],205.955078125,-0.989990234375,0.0,146.5,193.7863006591797,-0.9404296875,[],[],[],[],[],[],[],[],[],[],[],[],225.5,-1.325439453125,2.12451171875,23.046875,0.1973876953125,0.7109375,33.53125,-0.29046630859375,-1.75146484375,6.65234375,0.328125,0.90625,25.140625,-0.0391616821289062,0.86572265625,5.1953125,0.1673583984375,0.7421875,23.40625,-1.306396484375,-2.6044921875,6.4296875,0.288330078125,0.42578125
25.0,-379.354248046875,1621984.0,576440.0,1099212.0,522772.0,"[4.64, 3.68]","[-1.86, -1.82]","[-0.404, -0.394]","[0.106, 0.106]",204.872314453125,-2.68359375,0.0,245.0,276.915283203125,-2.71240234375,[],[],[],[],[],[],[],[],[],[],[],[],320.75,-2.31591796875,0.0357742309570312,25.796875,0.57861328125,0.265625,75.875,-1.99267578125,2.52197265625,10.6015625,0.12255859375,0.71875,35.34375,-1.1494140625,2.572265625,8.3203125,0.332275390625,0.6953125,25.421875,-1.8447265625,-0.40594482421875,4.88671875,0.36767578125,0.7265625
23.0,-379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],208.60467529296875,-1.4423828125,0.0,185.125,207.61001586914065,-1.25390625,[],[],[],[],[],[],[],[],[],[],[],[],276.25,-0.9683837890625,2.00341796875,29.375,0.06671142578125,0.5078125,101.875,1.794677734375,-0.822509765625,14.6796875,0.074951171875,0.796875,34.5,-0.6536865234375,1.576904296875,5.58203125,0.13427734375,0.8515625,18.5625,-0.4874267578125,2.86962890625,3.7890625,0.52685546875,0.47265625
7.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],267.56268310546875,-1.25146484375,0.0,198.375,258.21063232421875,-1.29736328125,[],[],[],[],[],[],[],[],[],[],[],[],202.125,0.3218994140625,1.97900390625,23.84375,0.06475830078125,0.6015625,42.84375,1.48779296875,1.747314453125,7.4140625,0.76025390625,0.71875,22.90625,1.754638671875,2.43017578125,4.78515625,0.22216796875,0.7109375,17.8125,-0.143463134765625,0.179656982421875,4.91015625,0.1964111328125,0.890625
22.0,-379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],231.28195190429688,-3.05029296875,0.0,200.5,212.44467163085935,-3.0185546875,[],[],[],[],[],[],[],[],[],[],[],[],231.875,1.02783203125,0.0860595703125,27.0,0.4609375,0.6328125,29.40625,1.87353515625,-1.00439453125,6.53515625,0.296630859375,0.7109375,25.125,-0.529052734375,-0.287353515625,5.82421875,0.2279052734375,0.828125,23.765625,2.267578125,1.977294921875,5.54296875,0.5673828125,0.7578125
29.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,"[6.23, 3.11]","[-0.811, 1.54]","[-2.98, -1.22]","[0.106, 0.106]",234.0225524902344,1.4541015625,0.0,150.5,223.16217041015625,1.4482421875,[],[],[],[],[],[],[],[],[],[],[],[],293.75,-0.8448486328125,-2.6943359375,39.46875,0.148681640625,0.6171875,205.0,-0.0173988342285156,-0.09918212890625,25.5,0.08819580078125,0.7421875,34.96875,0.95068359375,-1.696044921875,7.47265625,0.135498046875,0.75,30.8125,0.30145263671875,0.36761474609375,4.5234375,0.1573486328125,0.7578125
24.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],203.5290069580078,-3.06298828125,0.0,169.625,217.49099731445312,3.056640625,[],[],[],[],[],[],[],[],"[19.6, 17.3]","[-0.499, -0.873]","[-1.89, -2.39]","[-3.58e-07, -2.38e-07]",311.0,-1.996337890625,0.61083984375,23.625,0.17138671875,0.5625,109.8125,-0.7945556640625,-2.3876953125,21.265625,0.469482421875,0.59375,96.8125,-0.4810791015625,-1.861083984375,15.21875,0.1553955078125,0.40234375,58.15625,-2.3447265625,0.176849365234375,6.9140625,0.0772705078125,0.41015625
21.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],267.47186279296875,1.717529296875,0.0,187.875,279.0881652832031,1.75732421875,[],[],[],[],[],[],[],[],[24.3],[-1.84],[-2.16],[-1.35e-06],246.875,0.98095703125,-0.8875732421875,42.4375,0.79248046875,0.765625,73.625,-1.847412109375,-2.1728515625,9.8515625,0.0709228515625,0.671875,55.59375,0.9803466796875,-3.060546875,7.06640625,0.11529541015625,0.828125,20.828125,0.60400390625,2.73388671875,3.625,0.455810546875,0.78125
28.0,-379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],270.8217163085937,-2.70068359375,0.0,185.75,244.1627655029297,-2.7294921875,[],[],[],[],[],[],[],[],[],[],[],[],206.375,-0.85791015625,0.3558349609375,13.40625,0.06719970703125,0.7578125,21.375,0.9061279296875,-1.7373046875,4.46484375,0.53515625,0.169921875,20.71875,0.33746337890625,1.138916015625,5.05859375,0.2064208984375,0.75,16.65625,-0.0601654052734375,0.44781494140625,4.66796875,0.2196044921875,0.671875
25.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[3.04],[2.1],[-2.91],[0.106],248.8717041015625,1.184814453125,0.0,167.625,246.8939514160156,1.22412109375,[],[],[],[],[],[],[],[],[],[],[],[],234.25,-1.670654296875,-2.0244140625,32.90625,0.427001953125,0.7265625,43.3125,-1.884521484375,0.470947265625,7.07421875,0.53955078125,0.609375,41.53125,-1.78564453125,-2.9189453125,7.19140625,0.29931640625,0.765625,16.21875,-1.199951171875,-1.6201171875,3.7734375,0.32373046875,0.390625
22.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],210.48245239257807,-2.85302734375,0.0,168.75,217.33688354492188,-2.9443359375,[],[],[],[],[],[],[],[],[],[],[],[],241.5,0.667724609375,-0.8336181640625,40.53125,0.359619140625,0.6953125,175.0,0.32574462890625,1.323974609375,18.046875,0.0953369140625,0.7109375,92.125,0.6763916015625,1.974365234375,16.375,0.4150390625,0.6796875,56.46875,-0.529541015625,-1.578125,8.9609375,0.1260986328125,0.8515625
22.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],266.996337890625,-1.130859375,0.0,278.5,299.6778869628906,-1.137939453125,[],[],[],[],[],[],[],[],[],[],[],[],288.0,0.59521484375,1.904296875,30.4375,0.057281494140625,0.6328125,47.375,-1.9404296875,-2.06201171875,8.0859375,0.10107421875,0.765625,24.21875,-1.5107421875,1.77099609375,5.34765625,0.5361328125,0.3046875,24.046875,0.0891571044921875,1.44287109375,5.71875,0.1593017578125,0.671875
17.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],236.0304107666016,0.6593017578125,0.0,213.375,222.71945190429688,0.67626953125,[],[],[],[],[],[],[],[],[],[],[],[],250.375,2.0693359375,-2.5673828125,21.0625,0.1959228515625,0.6484375,42.71875,0.6051025390625,1.283935546875,10.4296875,0.205078125,0.546875,34.78125,-2.1884765625,-0.8944091796875,7.26953125,0.51123046875,0.3359375,30.59375,1.814453125,-1.7724609375,5.03125,0.15869140625,0.5234375
19.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[6.8],[0.153],[3.09],[0.106],251.9483642578125,-0.814453125,0.0,147.0,239.7585906982422,-0.7550048828125,[],[],[],[],[],[],[],[],[14.3],[-0.0666],[3.08],[-1.08e-07],235.0,0.221710205078125,-3.0791015625,51.96875,0.31640625,0.5703125,201.25,1.010498046875,0.805908203125,27.9375,0.076416015625,0.7109375,56.90625,-0.511962890625,1.9736328125,11.03125,0.2269287109375,0.8046875,42.21875,-0.23455810546875,3.07470703125,8.4765625,0.2054443359375,0.78125
20.0,-379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],215.6099395751953,-1.64599609375,0.0,179.125,229.8331298828125,-1.689453125,[4.91],[2.22],[1.28],[-0.00151],[],[],[],[],[],[],[],[],239.25,1.7314453125,1.257080078125,22.90625,0.13232421875,0.5546875,68.5625,-2.1630859375,-2.5068359375,6.4375,0.0911865234375,0.5078125,22.171875,1.244873046875,2.67822265625,4.82421875,0.29052734375,0.38671875,19.09375,2.35888671875,1.26025390625,4.53515625,0.2646484375,0.625
12.0,-379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],208.2986602783203,-1.582763671875,0.0,209.375,221.4471435546875,-1.42138671875,[],[],[],[],[],[],[],[],[],[],[],[],248.375,0.21337890625,1.742919921875,41.03125,0.062042236328125,0.53125,89.5,1.322265625,-0.8297119140625,18.828125,0.77294921875,0.7890625,52.09375,-0.2606201171875,1.62744140625,6.93359375,0.3173828125,0.7109375,19.3125,-0.901123046875,-2.71533203125,4.71484375,0.36572265625,0.3203125
42.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],258.7548828125,-0.34039306640625,0.0,164.5,270.3974609375,-0.263916015625,[],[],[],[],[],[],[],[],[],[],[],[],249.5,1.29052734375,-3.07080078125,29.0625,0.43798828125,0.703125,46.71875,1.510986328125,0.7027587890625,7.2734375,0.342041015625,0.49609375,36.34375,1.55029296875,1.7509765625,8.21875,0.261474609375,0.7265625,32.59375,0.4869384765625,2.58642578125,6.984375,0.2279052734375,0.46875
52.0,-379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],242.41427612304688,2.98046875,0.0,207.5,288.8697509765625,3.0478515625,[8.22],[-2.03],[-1.01],[-0.00586],[],[],[],[],[],[],[],[],255.125,-0.98876953125,-0.14129638671875,29.703125,0.46484375,0.8359375,23.3125,0.8131103515625,0.278564453125,5.625,0.53515625,0.5078125,21.46875,0.29840087890625,1.240478515625,3.810546875,0.5283203125,0.37109375,20.734375,-2.17822265625,-1.113525390625,5.28125,0.53173828125,0.5078125
35.0,-379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[7.24],[1.67],[-2.49],[0.106],255.2367248535156,0.864501953125,0.0,169.875,246.5316467285156,0.9942626953125,[],[],[],[],[],[],[],[],[],[],[],[],258.25,1.61181640625,-2.45751953125,25.5625,0.46728515625,0.8828125,40.78125,-1.271484375,0.1923828125,6.60546875,0.1361083984375,0.640625,35.1875,1.345458984375,-1.333740234375,6.98828125,0.2432861328125,0.765625,17.53125,-1.843994140625,-0.592529296875,4.73046875,0.70654296875,0.8203125
18.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],208.8152618408203,-0.5545654296875,0.0,152.75,208.2319793701172,-0.3555908203125,[],[],[],[],[],[],[],[],[10.4],[-2.25],[-2.1],[6.74e-07],210.0,1.043701171875,2.51220703125,34.9375,0.0794677734375,0.5625,31.515625,0.1416015625,-2.19482421875,7.90234375,0.3720703125,0.3125,29.5,1.52880859375,-1.965576171875,5.6953125,0.5810546875,0.39453125,21.84375,-0.121307373046875,0.0559539794921875,5.7734375,0.1593017578125,0.5546875
21.0,-379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],287.58905029296875,2.8955078125,0.0,206.125,291.4524230957031,2.7880859375,[],[],[],[],[],[],[],[],[],[],[],[],256.5,-1.209716796875,-0.0785064697265625,26.78125,0.3447265625,0.7109375,50.4375,1.41943359375,-2.85400390625,10.0390625,0.681640625,0.43359375,38.5625,1.287353515625,-0.30023193359375,8.078125,0.17724609375,0.8125,20.015625,-0.158477783203125,-0.9935302734375,4.04296875,0.137451171875,0.7734375
16.0,-379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[4.73],[-1.74],[-2.15],[0.106],208.42837524414065,2.61865234375,0.0,141.0,186.7577667236328,2.626953125,[],[],[],[],[],[],[],[],[],[],[],[],206.375,0.47296142578125,-0.159271240234375,17.875,0.1258544921875,0.7578125,59.15625,-1.9736328125,-2.39208984375,15.4140625,0.46337890625,0.6484375,32.8125,0.38751220703125,-0.9080810546875,5.9296875,0.2939453125,0.65625,17.640625,-1.746337890625,1.496826171875,3.701171875,0.52685546875,0.8046875
17.0,-379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[4.75],[0.514],[0.554],[0.106],227.83587646484372,1.767578125,0.0,148.25,220.5045928955078,1.5947265625,[],[],[],[],[19.2],[0.812],[0.417],[1.09],[],[],[],[],203.0,-0.8023681640625,-1.541259765625,27.625,0.09619140625,0.515625,56.65625,0.7698974609375,0.51318359375,12.1796875,0.10748291015625,0.5390625,23.484375,-0.0960540771484375,-2.224609375,5.2421875,0.2373046875,0.47265625,17.859375,-1.706787109375,-2.1435546875,4.83203125,0.2344970703125,0.9453125
18.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],322.1959228515625,1.66015625,0.0,170.0,245.10047912597656,1.59619140625,[],[],[],[],[],[],[],[],[],[],[],[],209.75,0.5552978515625,-1.47412109375,13.3203125,0.08209228515625,0.7578125,62.28125,-1.6484375,-2.00390625,15.5546875,0.283935546875,0.5390625,48.96875,0.060821533203125,-1.921630859375,9.078125,0.156005859375,0.78125,33.28125,0.8641357421875,-0.168792724609375,7.2265625,0.30859375,0.59375
18.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],214.8184051513672,-3.1015625,0.0,156.125,210.8990478515625,3.123046875,[8.01],[0.766],[-2.54],[0.00196],[],[],[],[],[20.6],[2.38],[-0.962],[-1.35e-06],232.0,1.59521484375,0.25164794921875,25.3125,0.1824951171875,0.6796875,71.0625,2.3544921875,-0.9488525390625,12.21875,0.326904296875,0.30859375,37.71875,-1.114501953125,2.64306640625,8.0234375,0.2242431640625,0.78125,33.46875,0.84130859375,-2.501953125,5.3671875,0.15673828125,0.5390625
21.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],234.62457275390625,0.26495361328125,0.0,176.0,216.72360229492188,0.2222900390625,[],[],[],[],[],[],[],[],[],[],[],[],244.625,0.144561767578125,3.0986328125,19.484375,0.099609375,0.6171875,33.09375,0.988037109375,-1.438720703125,9.0859375,0.268310546875,0.6640625,20.234375,1.02978515625,-0.79833984375,4.609375,0.1414794921875,0.5390625,17.046875,-0.5003662109375,-1.228515625,3.416015625,0.1580810546875,0.8359375
26.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[3.2],[-1.73],[1.17],[0.106],246.0841217041016,2.5244140625,0.0,193.0,273.2239074707031,2.5517578125,[],[],[],[],[],[],[],[],[],[],[],[],208.5,-1.90673828125,-0.236358642578125,26.234375,0.1845703125,0.75,59.15625,-0.0402145385742187,-2.4091796875,10.65625,0.1278076171875,0.578125,23.609375,-0.9713134765625,-0.906982421875,5.9609375,0.322021484375,0.7890625,17.890625,-1.43603515625,-0.2220458984375,4.40234375,0.2230224609375,0.47265625
17.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[3.83],[0.762],[1.57],[0.106],211.28819274902344,-2.0595703125,0.0,165.0,204.01876831054688,-2.171875,[],[],[],[],[],[],[],[],[],[],[],[],352.75,1.16650390625,1.53076171875,20.03125,0.257080078125,0.75,232.125,0.855224609375,-1.135498046875,41.3125,0.207275390625,0.37890625,33.375,0.5535888671875,1.54248046875,6.1484375,0.2435302734375,0.6015625,19.65625,-1.5302734375,2.96337890625,3.79296875,0.10333251953125,0.828125
20.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],208.8755340576172,-3.04443359375,0.0,155.625,233.41546630859372,-3.10693359375,"[6.11, 5.19]","[2.42, 1.25]","[-1.8, 0.101]","[0.00641, -0.00202]",[],[],[],[],[],[],[],[],202.125,-0.63623046875,0.140960693359375,16.4375,0.262451171875,0.59375,30.703125,2.35791015625,-1.798583984375,4.08984375,0.323974609375,0.75,23.9375,1.4365234375,0.0396881103515625,5.11328125,0.51416015625,0.220703125,22.046875,-0.66943359375,0.9056396484375,6.7109375,0.52734375,0.6015625
15.0,379.354248046875,1621984.0,576440.0,1099212.0,522772.0,[],[],[],[],239.83058166503903,2.24462890625,0.0,172.375,253.46849060058597,2.1328125,[],[],[],[],[],[],[],[],[],[],[],[],225.875,0.53564453125,-1.178955078125,27.25,0.50439453125,0.671875,38.9375,1.475341796875,-0.134246826171875,7.65234375,0.1749267578125,0.53125,17.75,-1.122314453125,-1.317626953125,4.63671875,0.3134765625,0.765625,16.515625,-2.05712890625,1.632568359375,3.6796875,0.18701171875,0.7890625
