pileup,weight,nevents,N_gen,gw_pos,gw_neg,muon_pt,muon_eta,muon_phi,muon_mass,met_pt,met_phi,met_eta,calo_met_pt,met_pt_pf,met_phi_pf,electron_pt,electron_eta,electron_phi,electron_mass,tau_pt,tau_eta,tau_phi,tau_mass,photon_pt,photon_eta,photon_phi,photon_mass,lead_jet_pt,lead_jet_eta,lead_jet_phi,lead_jet_mass,lead_jet_btag_csvv2,lead_jet_ch_hef,lead_jet2_pt,lead_jet2_eta,lead_jet2_phi,lead_jet2_mass,lead_jet2_btag_csvv2,lead_jet2_ch_hef,lead_jet3_pt,lead_jet3_eta,lead_jet3_phi,lead_jet3_mass,lead_jet3_btag_csvv2,lead_jet3_ch_hef,lead_jet4_pt,lead_jet4_eta,lead_jet4_phi,lead_jet4_mass,lead_jet4_btag_csvv2,lead_jet4_ch_hef
20.0,41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],286.28033447265625,1.6318359375,0.0,184.0,266.8645324707031,1.60693359375,[6.09],[0.462],[-1.05],[-0.00216],[],[],[],[],[],[],[],[],219.875,0.9989013671875,-1.374267578125,31.875,0.25732421875,0.7421875,25.546875,1.115234375,-1.898193359375,5.7734375,0.1536865234375,0.34765625,19.359375,0.47088623046875,-1.13427734375,3.94921875,0.156982421875,0.5859375,17.171875,-1.293212890625,0.552734375,4.69140625,0.1806640625,0.796875
14.0,41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],265.5494079589844,-1.95703125,0.0,277.5,301.8433837890625,-1.936279296875,[],[],[],[],[],[],[],[],[],[],[],[],267.5,-0.147705078125,1.056640625,22.953125,0.1446533203125,0.48046875,33.75,1.396484375,-2.7509765625,6.91796875,0.60205078125,0.48828125,30.15625,0.38885498046875,0.78662109375,5.15234375,0.294677734375,0.36328125,17.453125,0.47576904296875,2.873046875,3.806640625,0.193115234375,0.7734375
26.0,-41.81005859375,292769.0,106879.0,199824.0,92945.0,[4.79],[-0.392],[-0.544],[0.106],296.5492858886719,2.2978515625,0.0,226.0,277.9801025390625,2.216796875,[],[],[],[],[],[],[],[],[],[],[],[],254.0,-0.24041748046875,-0.7681884765625,38.40625,0.0872802734375,0.8359375,35.03125,-0.6343994140625,-0.518798828125,5.109375,0.32568359375,0.8125,26.78125,1.37255859375,-2.029296875,4.234375,-10.0,0.5625,21.390625,1.427001953125,-2.63134765625,5.08984375,0.414306640625,0.7265625
24.0,41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],311.3119201660156,2.19091796875,0.0,229.25,323.18853759765625,2.15185546875,[6.75],[-2.19],[-2.15],[-0.00452],[],[],[],[],[],[],[],[],251.625,-0.084014892578125,-0.9051513671875,29.546875,0.166748046875,0.8046875,37.21875,0.1075286865234375,-1.392578125,8.1796875,0.18359375,0.212890625,27.578125,-2.0771484375,-2.09521484375,6.79296875,0.66259765625,0.46484375,16.296875,-0.673828125,-0.146270751953125,3.919921875,0.1463623046875,0.828125
25.0,41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],308.6166381835937,1.1396484375,0.0,266.0,296.9921875,1.182373046875,[7.32],[2.29],[-2.65],[0.00489],[],[],[],[],[],[],[],[],234.625,2.138671875,-1.98046875,23.53125,0.197265625,0.8515625,66.5625,1.671142578125,-2.13232421875,11.25,0.13525390625,0.828125,19.953125,2.0654296875,1.97705078125,4.46484375,0.346435546875,0.7578125,15.125,2.24853515625,-2.546875,2.306640625,0.54248046875,0.31640625
20.0,41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],295.69390869140625,0.7464599609375,0.0,188.0,306.3759155273437,0.66650390625,[5.33],[0.724],[-2.37],[0.000241],[],[],[],[],[],[],[],[],210.625,1.1455078125,-2.37744140625,29.828125,0.06365966796875,0.9140625,62.15625,0.6810302734375,-2.3564453125,7.30078125,0.08099365234375,0.625,16.578125,-0.7349853515625,-2.6748046875,4.1953125,0.30029296875,0.765625,15.2578125,1.8154296875,2.396484375,2.20703125,-10.0,0.9921875
17.0,-41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],485.7991943359375,0.170166015625,0.0,347.5,467.01763916015625,0.14044189453125,[],[],[],[],[],[],[],[],[],[],[],[],263.75,-0.0476303100585937,2.919921875,40.15625,0.497802734375,0.7890625,159.875,-1.09765625,-2.50927734375,16.78125,0.06658935546875,0.8515625,59.21875,1.078369140625,-2.4169921875,11.0,0.59521484375,0.59375,17.078125,-2.0234375,2.7587890625,3.45703125,0.1368408203125,0.75
31.0,41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],343.9795227050781,0.8367919921875,0.0,311.0,333.5225524902344,0.7818603515625,[],[],[],[],[],[],[],[],"[15.6, 12.3]","[1.23, -0.197]","[0.133, 1.98]","[0, -5.16e-08]",306.75,-0.5926513671875,-2.4521484375,25.4375,0.1859130859375,0.515625,43.5625,1.21337890625,0.0129814147949218,7.3046875,0.11077880859375,0.7109375,24.546875,-0.075042724609375,-2.26611328125,4.5546875,0.1363525390625,0.8359375,21.09375,-1.635986328125,-2.57275390625,4.94921875,0.2464599609375,0.9140625
23.0,41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],311.9103698730469,1.12841796875,0.0,286.75,277.0754089355469,1.214111328125,[],[],[],[],[19.7],[-0.0954],[2.23],[0.713],[],[],[],[],347.5,-2.349609375,-2.0009765625,36.09375,0.51318359375,0.796875,39.59375,-0.0145606994628906,2.2646484375,7.96875,0.310791015625,0.7109375,28.5625,2.18798828125,-0.058074951171875,6.38671875,0.7607421875,0.7265625,21.21875,-1.942626953125,1.804931640625,4.21875,0.52978515625,0.3046875
32.0,41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],306.8856811523437,-2.8056640625,0.0,249.125,278.4753723144531,-2.82568359375,[],[],[],[],[],[],[],[],[],[],[],[],304.0,0.0611114501953125,1.70263671875,27.546875,0.390869140625,0.5390625,291.5,-0.9925537109375,0.0538406372070312,31.921875,0.0992431640625,0.7421875,231.125,-2.06494140625,-1.460693359375,32.125,0.36572265625,0.703125,17.46875,-0.7369384765625,1.8720703125,5.546875,0.2279052734375,0.7109375
20.0,-41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],372.19134521484375,0.5172119140625,0.0,321.5,358.92340087890625,0.46026611328125,[8.1],[0.268],[-2.21],[0.000812],[],[],[],[],[],[],[],[],282.75,-2.1396484375,-2.736328125,19.90625,0.1287841796875,0.7890625,72.75,-0.2091064453125,-2.0810546875,12.921875,0.0924072265625,0.765625,21.25,-1.472900390625,2.0146484375,3.986328125,0.197509765625,0.640625,18.875,0.31597900390625,-2.13916015625,3.8125,0.1363525390625,0.625
26.0,41.81005859375,292769.0,106879.0,199824.0,92945.0,[],[],[],[],334.8405456542969,-1.86962890625,0.0,292.0,326.4146423339844,-1.84228515625,[],[],[],[],[],[],[],[],[],[],[],[],303.75,-0.7215576171875,1.305908203125,13.8671875,0.0865478515625,0.65625,38.71875,0.672607421875,1.657470703125,6.2109375,0.1280517578125,0.6875,20.046875,0.26123046875,-0.35009765625,4.48828125,0.201904296875,0.6875,15.3203125,-0.616455078125,-0.508056640625,4.125,-10.0,0.26171875
26.0,-41.81005859375,292769.0,106879.0,199824.0,92945.0,[3.79],[-0.977],[-0.211],[0.106],395.7697448730469,-0.708740234375,0.0,357.25,391.9486389160156,-0.694091796875,[5.5],[2.17],[1.96],[0.00328],[],[],[],[],[],[],[],[],422.5,-0.239471435546875,2.5634765625,23.515625,0.236572265625,0.40625,51.9375,1.385009765625,0.125335693359375,9.703125,0.59375,0.5546875,16.765625,2.28076171875,2.0458984375,4.29296875,0.54345703125,0.421875,16.140625,1.323974609375,0.6895751953125,3.76953125,0.6669921875,0.31640625
